Optimiser,Loss_Function,Avg_Train_Loss,Std_Dev_Train_Loss,Avg_Test_MSE,Std_Dev_Test_MSE,Avg_Test_MAE,Std_Dev_Test_MAE,Avg_R2_Score,Std_Dev_R2_Score,Avg_Time_s,Std_Dev_Time_s
Batch Gradient Descent,Mean Squared Error,72.9225278914556,8.614892303372344e-09,104.20247472791043,0.0005735486781090485,8.416671892177794,2.768763128103517e-05,0.937415011693448,3.4447874109747254e-07,0.019940829277038573,0.0009518172866791881
Batch Gradient Descent,Mean Absolute Error,559.911770531327,224.55613294363306,502382.2160155137,254798.60434872264,581.2885284241834,216.29418573112466,-300.7354932965821,153.03444294705756,0.030241680145263673,0.004545833183340265
Stochastic Gradient Descent,Mean Squared Error,74.80650818302603,0.19722556874526154,105.2171302419681,3.9077223517824886,8.46824983115122,0.21149948938935006,0.9368056000297779,0.0023470148701377576,1.5743587493896485,0.01914023680828197
Stochastic Gradient Descent,Mean Absolute Error,149.13754196508063,113.68205010601002,51658.53399483055,51999.96043699318,151.33991904537146,115.45040232769996,-30.026602337824624,31.231666276527534,1.7324780702590943,0.2549701106594643
Mini Batch Gradient Descent,Mean Squared Error,74.64351162063303,4.054352083935891,104.11025476490177,0.5762504476518857,8.41205193433675,0.03441823150796971,0.937470399872295,0.000346101449338026,0.07099671363830566,0.0025450089067078686
Mini Batch Gradient Descent,Mean Absolute Error,604.9631352773259,270.2590186692336,534517.7994789012,400375.3828647478,602.7827997041653,252.1704531820466,-320.03642756452456,240.46922801258557,0.07269723415374756,0.0015125375867378137
Cellular Automata Optimiser,Mean Squared Error,72.92252788103295,1.797546735911271e-14,104.20222644526352,9.615424670010374e-07,8.416659916716585,5.333549446701422e-08,0.9374151608143453,5.775114842626549e-10,5.446925926208496,0.06684155103114485
Cellular Automata Optimiser,Mean Absolute Error,6.834412938550192,1.526629262970936e-05,107.72619292568925,0.007111057865339864,8.611053740387092,0.0003718588740308948,0.9352986333369891,4.2709683672348886e-06,3.76296808719635,0.6038411509492397
