Optimiser,Loss_Function,Avg_Train_Loss,Std_Dev_Train_Loss,Avg_Test_Accuracy,Std_Dev_Test_Accuracy,Avg_F1_Score,Std_Dev_F1_Score,Avg_Time_s,Std_Dev_Time_s
Batch Gradient Descent,Categorical Cross Entropy,0.9428052780011834,0.6276050335945266,0.6833333333333333,0.15147423690002354,0.6826557484931425,0.15074926764907945,0.06864078044891357,0.001722404527884323
Stochastic Gradient Descent,Categorical Cross Entropy,0.07553845865591159,0.006399862398044053,0.96,0.03265986323710904,0.9598480856873642,0.03278291144194201,3.86498441696167,1.12987400726997
Mini Batch Gradient Descent,Categorical Cross Entropy,0.302658531859155,0.17801506234501527,0.8733333333333333,0.10088497300281038,0.8733161121046434,0.1006769187552003,0.1247288703918457,0.001938984859083603
Cellular Automata Optimiser,Categorical Cross Entropy,0.05405529189161455,0.0017632334924225987,0.9966666666666667,0.009999999999999998,0.9966410912190963,0.01007672634271104,26.42911891937256,10.022428177251987
