Optimiser,Loss_Function,Avg_Train_Loss,Std_Dev_Train_Loss,Avg_Test_Accuracy,Std_Dev_Test_Accuracy,Avg_F1_Score,Std_Dev_F1_Score,Avg_Time_s,Std_Dev_Time_s
Batch Gradient Descent,Categorical Cross Entropy,1.899069517073214,2.8008782380659536,0.6866666666666668,0.20121851030382093,0.6893788980770406,0.19804972325269196,0.04846022129058838,0.00371432734488947
Stochastic Gradient Descent,Categorical Cross Entropy,0.07410506422029038,0.007296307312446008,0.95,0.03415650255319865,0.9497728977174393,0.034339886839793596,5.500383043289185,1.9876239933144764
Mini Batch Gradient Descent,Categorical Cross Entropy,0.40663715209531476,0.24193174968819867,0.86,0.10624918300339486,0.8600141444831173,0.10597125871830462,0.1831409215927124,0.023980691266876627
Cellular Automata Optimiser,Categorical Cross Entropy,0.052874301268922966,0.002492518466482245,0.9966666666666667,0.009999999999999998,0.9966410912190963,0.01007672634271104,24.560188436508177,2.3926800125980243
